temperature_C,vv,precipitation_level,year,month,day,dateindex
-1.9162953741082789,-1.8627039659464286,2,2021,1,1,120211
-2.135252099357736,-1.9385646269887313,2,2021,1,1,120211
-2.0330722942413244,-1.6030270877631612,2,2021,1,1,120211
-1.9600867191581721,-1.618588249002608,2,2021,1,1,120211
-1.3032165434098004,-1.1809305891431685,2,2021,1,1,120211
-1.361605003476319,-0.5001297849173739,2,2021,1,1,120211
-1.5805617287257763,-0.3464633176778375,2,2021,1,1,120211
-1.9162953741082789,-0.40287252717083183,2,2021,1,1,120211
-1.9016982590916451,-0.7919015581570003,2,2021,1,2,120212
-2.1644463293909957,-1.646792853749105,2,2021,1,2,120212
-2.1790434444076294,-1.7314066679885969,2,2021,1,2,120212
-2.0184751792246907,-1.1809305891431685,2,2021,1,2,120212
-1.3324107734430597,-1.0836733313966265,2,2021,1,2,120212
-1.230230968326648,-1.0924264845938152,2,2021,1,2,120212
-1.5805617287257763,-1.465894354340537,2,2021,1,2,120212
-1.6535473038089286,-1.7625289904674901,2,2021,1,2,120212
-1.6389501887923033,-1.7985141758337109,2,2021,1,3,120213
-1.6681444188255625,-1.8578411030591013,2,2021,1,3,120213
-1.6389501887923033,-1.8578411030591013,2,2021,1,3,120213
-1.551367498692517,-1.4357446044391087,2,2021,1,3,120213
-1.317813658426426,-0.7919015581570003,2,2021,1,3,120213
-1.361605003476319,-0.7636969534105029,2,2021,1,3,120213
-1.376202118492953,-0.9864160736500843,2,2021,1,3,120213
-1.4929790386259982,-1.465894354340537,2,2021,1,3,120213
-1.4929790386259982,-1.465894354340537,2,2021,1,4,120214
-1.5075761536426238,-1.465894354340537,2,2021,1,4,120214
-1.5075761536426238,-1.1809305891431685,2,2021,1,4,120214
-1.551367498692517,-1.4162931528898004,2,2021,1,4,120214
-1.4637848085927307,-1.267489548537591,2,2021,1,4,120214
-1.419993463542846,-1.1760677262558417,2,2021,1,4,120214
-1.4345905785594715,-0.8424753321852021,2,2021,1,4,120214
-1.4637848085927307,-0.5244440993540096,2,2021,1,4,120214
-1.4783819236093645,-1.0836733313966265,2,2021,1,5,120215
-1.5075761536426238,-1.2101077664671311,2,2021,1,5,120215
-1.536770383675883,-1.465894354340537,2,2021,1,5,120215
-1.5075761536426238,-1.465894354340537,2,2021,1,5,120215
-1.4929790386259982,-1.353075935354548,2,2021,1,5,120215
-1.4491876935761052,-1.2781878468897108,2,2021,1,5,120215
-1.4345905785594715,-1.2781878468897108,2,2021,1,5,120215
-1.4783819236093645,-1.433799459284178,2,2021,1,5,120215
-1.536770383675883,-1.5864933539462491,2,2021,1,6,120216
-1.4783819236093645,-1.5067424025940845,2,2021,1,6,120216
-1.4929790386259982,-1.465894354340537,2,2021,1,6,120216
-1.4491876935761052,-1.2101077664671311,2,2021,1,6,120216
-1.4053963485262122,-1.1809305891431685,2,2021,1,6,120216
-1.3324107734430597,-1.2781878468897108,2,2021,1,6,120216
-1.3324107734430597,-1.3287616209179125,2,2021,1,6,120216
-1.3470078884596934,-0.9864160736500843,2,2021,1,6,120216
-1.3470078884596934,-1.1809305891431685,2,2021,1,7,120217
-1.4491876935761052,-0.9864160736500843,2,2021,1,7,120217
-1.6243530737756693,-1.3287616209179125,2,2021,1,7,120217
-1.5221732686592577,-1.609835095805419,2,2021,1,7,120217
-1.419993463542846,-1.4921538139321033,2,2021,1,7,120217
-1.3032165434098004,-0.45247372862156837,2,2021,1,7,120217
-1.5221732686592577,-0.01384349618466341,2,2021,1,7,120217
-1.536770383675883,0.4724427925480467,2,2021,1,7,120217
-1.6243530737756693,-0.01384349618466341,2,2021,1,8,120218
-1.7119357638754555,-1.1809305891431685,2,2021,1,8,120218
-1.8871011440750196,-1.3287616209179125,2,2021,1,8,120218
-1.6097559587590355,-0.01384349618466341,2,2021,1,8,120218
-1.419993463542846,-0.01384349618466341,2,2021,1,8,120218
-1.3032165434098004,0.4724427925480467,2,2021,1,8,120218
-1.419993463542846,0.4724427925480467,2,2021,1,8,120218
-1.9454896041415384,-1.4124028625799387,2,2021,1,8,120218
-1.9454896041415384,-1.465894354340537,1,2021,1,9,120219
-2.04766940925795,-1.579685345903991,1,2021,1,9,120219
-1.9308924891249128,-0.9864160736500843,1,2021,1,9,120219
-1.8287126840084929,-1.3754451046362528,1,2021,1,9,120219
-1.4053963485262122,-0.5973870426639162,1,2021,1,9,120219
-1.317813658426426,-0.5409778331709216,1,2021,1,9,120219
-1.6681444188255625,-0.40287252717083183,1,2021,1,9,120219
-1.7995184539752334,-0.40287252717083183,1,2021,1,9,120219
-1.8871011440750196,-0.9864160736500843,2,2021,1,10,1202110
-1.9308924891249128,-1.465894354340537,2,2021,1,10,1202110
-1.9162953741082789,-1.465894354340537,2,2021,1,10,1202110
-1.8725040290583859,-1.2781878468897108,2,2021,1,10,1202110
-1.4345905785594715,-0.8891588159035424,2,2021,1,10,1202110
-1.2594251983599074,0.6173561065903945,2,2021,1,10,1202110
-1.784921338958608,-0.5001297849173739,2,2021,1,10,1202110
-2.0184751792246907,-0.5001297849173739,2,2021,1,10,1202110
-2.135252099357736,-0.7919015581570003,1,2021,1,11,1202111
-2.14984921437437,-1.9278663286366118,1,2021,1,11,1202111
-1.9162953741082789,-1.1809305891431685,1,2021,1,11,1202111
-1.7411299939087148,-1.3754451046362528,1,2021,1,11,1202111
-1.4491876935761052,-0.40287252717083183,1,2021,1,11,1202111
-1.2886194283931667,-0.40287252717083183,1,2021,1,11,1202111
-1.3324107734430597,-0.6946443004104581,1,2021,1,11,1202111
-1.317813658426426,-0.9864160736500843,1,2021,1,11,1202111
-1.2594251983599074,-0.9864160736500843,3,2021,1,12,1202112
-1.186439623276755,-0.5001297849173739,3,2021,1,12,1202112
-1.1426482782268619,-1.0836733313966265,3,2021,1,12,1202112
-0.909094437960779,-0.01384349618466341,3,2021,1,12,1202112
-0.7339290577612066,-0.5001297849173739,3,2021,1,12,1202112
-0.5879579075949019,-1.667216877875879,3,2021,1,12,1202112
-0.7631232877944742,-1.690558619735049,3,2021,1,12,1202112
-0.8507059778942522,-1.71584550674915,3,2021,1,12,1202112
-1.0112742430771908,-1.2849958549319687,2,2021,1,13,1202113
-1.04046847311045,-1.604972232918092,2,2021,1,13,1202113
-1.0112742430771908,-1.6915311923125145,2,2021,1,13,1202113
-0.8944973229441453,-1.747940401805509,2,2021,1,13,1202113
-0.44198675742859705,-0.5001297849173739,2,2021,1,13,1202113
-0.44198675742859705,-0.01384349618466341,2,2021,1,13,1202113
-0.5587636775616426,-0.5001297849173739,2,2021,1,13,1202113
-0.5587636775616426,-0.7919015581570003,2,2021,1,13,1202113
-0.6025550226115357,-0.7919015581570003,2,2021,1,14,1202114
-0.5587636775616426,-0.01384349618466341,2,2021,1,14,1202114
-0.631749252644795,-0.01384349618466341,2,2021,1,14,1202114
-0.5587636775616426,0.4724427925480467,2,2021,1,14,1202114
-0.544166562545017,-0.5973870426639162,2,2021,1,14,1202114
-0.31061272227892606,1.8243186752249816,2,2021,1,14,1202114
-0.47118098746186465,-0.01384349618466341,2,2021,1,14,1202114
-0.7631232877944742,-1.3287616209179125,2,2021,1,14,1202114
-1.419993463542846,-0.03621266546636806,2,2021,1,15,1202115
-1.536770383675883,-0.74521807443866,2,2021,1,15,1202115
-1.5659646137091507,-0.7919015581570003,2,2021,1,15,1202115
-1.6973386488588218,-0.5973870426639162,2,2021,1,15,1202115
-1.4929790386259982,-0.01384349618466341,2,2021,1,15,1202115
-1.5075761536426238,-0.09651216526922425,2,2021,1,15,1202115
-1.6973386488588218,-0.01384349618466341,2,2021,1,15,1202115
-1.726532878892081,-0.01384349618466341,2,2021,1,15,1202115
-1.784921338958608,-0.01384349618466341,3,2021,1,16,1202116
-1.8433097990251266,-0.5001297849173739,3,2021,1,16,1202116
-1.9308924891249128,-0.7919015581570003,3,2021,1,16,1202116
-1.8725040290583859,-0.886241098171146,3,2021,1,16,1202116
-1.9454896041415384,-1.8714571191436173,3,2021,1,16,1202116
-1.9016982590916451,-1.5699596201293369,3,2021,1,16,1202116
-1.770324223941974,-1.6915311923125145,3,2021,1,16,1202116
-1.6243530737756693,-1.5028521122842229,3,2021,1,16,1202116
-1.3032165434098004,-1.53105671703072,2,2021,1,17,1202117
-1.2156338533100142,-0.9864160736500843,2,2021,1,17,1202117
-1.1572453932434956,0.3576792284071274,2,2021,1,17,1202117
-0.865303092910886,-0.30561526942428985,2,2021,1,17,1202117
-0.8215117478609929,0.12815210012528783,2,2021,1,17,1202117
-1.376202118492953,-0.9698823398331723,2,2021,1,17,1202117
-1.2448280833432734,-1.314173032255931,2,2021,1,17,1202117
-1.4929790386259982,-1.5300841444532545,1,2021,1,18,1202118
-1.5659646137091507,-1.2159432019319236,1,2021,1,18,1202118
